"","perfecture","sex","age","education"
"213","A7","M",8,"A9"
"214","A7","F",4,"A8"
"215","A7","F",7,"A5"
"216","A7","M",5,"A8"
"217","A2","F",3,"A8"
"218","A7","M",6,"A8"
"219","A9","M",9,"A8"
"220","A10","F",6,"A9"
"221","A2","F",6,"A9"
"222","A9","F",6,"A6"
"223","A9","F",8,"A8"
"224","A5","F",6,"A8"
"225","A2","M",8,"A7"
"226","A2","F",3,"A8"
"227","A2","F",4,"A8"
"228","A2","F",2,"A7"
"229","A2","F",8,"A5"
"230","A9","F",8,"A7"
"231","A5","F",2,"A7"
"232","A9","F",3,"A8"
"233","A7","F",3,"A7"
"234","A10","F",6,"A8"
"235","A10","F",3,"A7"
"236","A7","F",1,"A4"
"237","A10","F",6,"A8"
"238","A7","F",5,"A8"
"239","A7","F",2,"A8"
"240","A9","M",6,"A5"
"241","A7","M",6,"A7"
"242","A9","F",6,"A6"
"243","A9","M",3,"A5"
"244","A7","F",7,"A5"
"245","A10","F",2,"A5"
"246","A7","M",3,"A7"
"247","A10","F",8,"A5"
"248","A7","M",3,"A5"
"249","A7","M",8,"A7"
"250","A9","F",1,"A5"
"251","A9","F",2,"A7"
"252","A10","F",2,"A5"
"253","A9","F",1,"A5"
"254","A12","F",6,"A5"
"255","A7","F",2,"A7"
"256","A10","M",2,"A5"
"257","A10","F",7,"A5"
"258","A6","F",3,"A5"
"259","A6","F",4,"A7"
"260","A10","M",2,"A7"
"261","A9","F",2,"A6"
"262","A6","F",4,"A7"
"263","A6","M",4,"A5"
"264","A6","F",3,"A7"
"265","A6","F",2,"A6"
"266","A10","F",4,"A6"
"267","A10","F",7,"A5"
"268","A10","F",4,"A5"
"269","A7","F",3,"A8"
"270","A9","F",5,"A7"
"271","A7","M",3,"A5"
"272","A7","M",2,"A5"
"273","A9","F",2,"A5"
"274","A13","M",4,"A7"
"275","A10","F",3,"A5"
"276","A9","M",6,"A7"
"277","A13","F",8,"A7"
"278","A10","F",7,"A8"
"279","A8","M",6,"A5"
"280","A9","F",6,"A6"
"281","A7","M",4,"A8"
"282","A9","F",5,"A8"
"283","A9","M",5,"A8"
"284","A7","M",3,"A5"
"285","A7","F",6,"A6"
"286","A7","F",7,"A7"
"287","A2","F",4,"A8"
"288","A7","M",6,"A8"
"289","A10","M",5,"A7"
"290","A10","M",4,"A7"
"291","A7","F",6,"A5"
"292","A7","F",5,"A7"
"293","A7","M",6,"A5"
"294","A7","M",9,"A8"
"295","A9","M",8,"A7"
"296","A7","M",7,"A6"
"297","A7","F",5,"A8"
"298","A10","F",4,"A8"
"299","A7","M",6,"A7"
"300","A7","F",6,"A6"
"301","A7","F",3,"A8"
"302","A7","M",3,"A7"
"303","A7","F",5,"A8"
"304","A8","F",4,"A8"
"305","A7","M",5,"A7"
"306","A7","F",5,"A7"
"307","A7","F",3,"A8"
"308","A7","F",6,"A6"
"309","A10","F",5,"A6"
"310","A7","F",5,"A7"
"311","A7","F",4,"A6"
"312","A10","F",4,"A8"
"313","A7","F",6,"A8"
"314","A7","M",4,"A8"
"315","A7","F",4,"A8"
"316","A7","M",8,"A7"
"317","A7","F",4,"A7"
"318","A7","F",7,"A8"
"319","A12","F",7,"A7"
"320","A9","F",4,"A7"
"321","A4","F",5,"A7"
"322","A8","F",4,"A8"
"323","A2","F",3,"A8"
"324","A5","F",5,"A8"
"325","A9","F",3,"A8"
"326","A7","F",3,"A8"
"327","A10","F",3,"A8"
"328","A10","F",3,"A7"
"329","A7","F",8,"A8"
"330","A10","F",4,"A7"
"331","A7","M",4,"A8"
"332","A7","F",4,"A8"
"333","A7","F",5,"A8"
"334","A7","M",6,"A8"
"335","A10","M",7,"A8"
"336","A7","F",6,"A8"
"337","A7","M",8,"A8"
"338","A7","F",6,"A9"
"339","A7","F",7,"A8"
"340","A7","F",7,"A8"
"341","A7","F",7,"A7"
"342","A7","M",10,"A8"
"343","A7","F",9,"A5"
"344","A7","M",9,"A6"
"345","A7","F",7,"A7"
"346","A10","F",5,"A7"
"347","A6","F",4,"A8"
"348","A10","M",8,"A7"
"349","A12","M",5,"A7"
"350","A10","F",5,"A8"
"351","A6","F",4,"A8"
"352","A12","F",5,"A8"
"353","A7","F",2,"A7"
"354","A7","M",6,"A8"
"355","A8","F",3,"A8"
"356","A9","M",3,"A7"
