"","Secondary","Psychological.Complaints","Psychosomatic.Complaints"
"227",2.8,2.8,2.8
"228",3.8,3.8,3.8
"229",3.8,4,3.6
"230",2.8,2.4,3.2
"231",2.1,3.2,1
"232",1.8,2.6,1
"233",3.4,3.8,3
"234",2,2.2,1.8
"235",3.5,3.8,3.2
"236",1.5,2,1
"237",3.5,4,3
"238",3.1,2.6,3.6
"239",3.5,4,3
"240",1.4,1.6,1.2
"241",2.7,2.6,2.8
"242",1.9,2,1.8
"243",2.9,3.6,2.2
"244",1.6,1.8,1.4
"245",2.3,2.4,2.2
"246",2.6,2.6,2.6
"247",3.4,3.4,3.4
"248",2.5,2.8,2.2
"249",2.1,2,2.2
"250",2.2,2.2,2.2
"251",2.2,2.8,1.6
"252",2.7,2.4,3
"253",1.5,1.4,1.6
"254",2,1.8,2.2
"255",1.8,2,1.6
"256",2.2,2.4,2
"257",3.5,3.4,3.6
"258",1.9,2.2,1.6
"259",2.4,2.8,2
"260",2.1,2.4,1.8
"261",2.3,2.6,2
"262",3.2,3.4,3
"263",2.6,2.8,2.4
"264",3.5,4.2,2.8
"265",2.8,3,2.6
"266",2.2,2.4,2
"267",1.8,1.4,2.2
"268",1.9,2,1.8
"269",2.5,2.4,2.6
"270",3.6,3.4,3.8
"271",3.6,3.8,3.4
"272",2.7,3.2,2.2
"273",3.4,3,3.8
"274",3.9,4,3.8
"275",3.7,3.8,3.6
"276",3.8,3.8,3.8
"277",3.8,3.8,3.8
"278",3.7,4.2,3.2
"279",3,3,3
"280",2.7,2.6,2.8
"281",2.7,2.8,2.6
"282",2.5,2.6,2.4
"283",2.9,2.8,3
"284",1,1,1
"285",2.8,3.8,1.8
"286",3.8,4.2,3.4
"287",2.4,2.6,2.2
"288",1.5,2,1
"289",1.9,1.8,2
"290",1.8,2,1.6
"291",3.4,3.8,3
"292",2.6,3.2,2
"293",2.9,2.8,3
"294",1.8,1.8,1.8
"295",1.8,1.8,1.8
