"","ex01","ex02","ex03","ex04","ex05","ex06","ex07","ex08","md09","md10","md11","md12","md13","ci14","ci15","ci16","ci17","ci18","ei19","ei20","ei21","ei22","ei23","plc01","plc02","plc03","plc04","plc05","psc06","psc07","psc08","psc09","psc10"
"188",2,2,3,2,4,2,4,3,3,4,2,1,1,4,2,3,4,4,1,1,1,1,2,3,4,2,2,2,1,2,4,4,3
"189",3,2,3,5,4,2,1,3,1,3,3,2,3,2,3,3,2,5,2,2,2,2,5,2,2,3,3,3,1,5,5,2,3
"190",4,5,2,1,5,5,2,3,5,4,2,3,1,5,4,4,4,4,1,4,3,2,2,2,3,4,2,1,1,2,4,4,1
"191",1,2,2,2,2,2,3,3,1,2,1,1,2,2,2,3,2,2,3,2,3,2,2,2,3,2,4,2,2,2,3,2,1
"192",3,4,3,1,1,2,3,3,2,2,1,1,1,2,4,2,3,3,1,2,3,2,3,3,3,4,4,3,1,1,2,2,2
"193",1,3,1,1,3,1,1,1,1,1,1,1,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"194",2,2,3,4,3,2,2,2,2,3,1,3,2,3,4,1,2,2,3,3,4,2,3,3,2,2,2,3,2,2,3,4,2
"195",5,5,2,2,3,4,2,4,3,3,3,1,2,5,5,5,5,5,1,1,1,1,2,5,2,3,5,5,2,4,4,4,1
"196",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,2,4,4,4,4
"197",1,1,1,1,3,1,3,3,1,1,1,1,1,1,5,1,1,3,1,1,5,1,1,3,3,4,4,1,1,1,3,5,3
"198",2,3,2,3,3,3,2,3,2,2,3,1,3,2,4,2,2,2,2,2,2,1,1,2,3,3,3,1,1,1,1,1,2
"199",3,3,2,3,3,1,3,3,3,3,1,1,2,3,3,3,4,2,1,1,2,1,2,3,1,2,1,4,2,1,2,1,1
"200",2,5,1,3,3,5,3,1,2,5,4,2,3,5,2,2,5,5,3,3,5,3,1,4,5,4,4,3,3,1,4,2,1
"201",2,3,3,1,2,3,3,3,3,3,3,1,4,4,4,3,4,4,1,3,3,1,1,2,4,2,2,5,2,2,2,3,1
"202",4,4,2,3,3,4,4,3,3,3,2,3,4,2,5,3,2,3,3,3,4,4,4,3,4,4,3,5,4,3,3,2,2
"203",3,3,3,4,4,4,2,3,3,2,2,3,4,4,3,2,5,4,2,2,2,4,3,4,3,5,3,1,3,5,3,5,2
"204",2,3,1,2,3,4,3,2,4,1,3,2,2,3,4,3,4,2,1,1,2,1,1,3,2,3,1,2,3,1,1,3,1
"205",2,3,2,3,3,2,4,3,3,2,2,3,3,2,1,3,3,2,2,2,2,2,1,1,3,3,2,1,2,3,2,2,2
"206",4,3,3,4,5,4,3,3,4,3,3,3,4,5,4,5,5,5,4,4,4,4,4,5,5,5,3,4,3,2,3,2,2
"207",2,3,3,2,3,2,3,2,3,3,1,2,2,3,2,2,2,2,2,3,2,2,3,3,2,3,3,2,2,2,2,3,2
"208",3,4,3,2,4,4,1,1,4,3,1,1,1,3,5,3,4,3,1,2,1,3,1,5,4,3,1,3,1,1,3,3,2
"209",5,3,4,4,5,4,5,4,4,3,4,3,3,5,4,4,5,3,5,2,5,3,3,4,5,5,3,5,2,2,3,3,2
"210",2,2,1,2,2,2,2,1,1,1,2,2,1,1,2,1,2,2,2,1,1,2,2,1,2,2,1,2,1,1,1,1,2
"211",2,4,2,3,2,3,2,3,4,3,2,3,3,3,3,3,3,3,3,2,2,3,2,2,4,3,2,3,2,2,2,4,2
"212",1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,1,1,3,4,2
"213",1,2,2,3,2,2,3,2,1,2,1,1,1,1,2,1,2,2,2,2,3,2,2,3,3,3,2,1,1,1,1,1,1
"214",3,4,3,3,3,3,1,4,4,3,3,1,4,2,4,2,3,3,3,3,4,3,4,1,4,4,4,2,3,4,3,4,1
"215",4,5,2,1,2,1,2,3,1,2,1,1,4,1,1,4,1,2,1,2,2,1,2,2,3,3,3,3,1,3,4,4,4
"216",3,3,3,3,3,2,3,4,3,3,2,2,2,3,3,3,3,3,2,1,3,3,3,4,4,4,3,4,2,3,4,4,3
"217",2,2,1,2,1,1,3,2,3,3,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1
"218",2,2,1,1,1,1,1,2,3,1,2,3,1,2,2,2,2,2,1,1,1,2,3,2,3,2,1,1,1,1,3,2,2
"219",3,3,1,3,2,1,2,3,2,2,1,1,2,3,2,2,2,2,1,2,2,1,1,1,2,2,2,3,1,1,1,3,1
"220",3,3,1,2,1,1,2,3,2,1,1,1,3,2,3,1,3,2,2,1,2,1,1,1,2,2,3,2,1,1,1,4,1
"221",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2
"222",2,2,3,3,3,2,2,3,3,2,1,2,1,2,1,2,1,2,2,2,2,2,2,3,3,2,1,3,1,1,2,3,2
"223",4,3,4,4,4,4,3,4,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,4,3,3,2,3,2
"224",4,3,3,4,2,2,3,4,3,3,4,4,4,3,3,4,3,2,3,3,4,4,3,4,3,5,3,2,1,2,4,5,1
"225",3,3,3,4,2,1,2,4,2,2,2,1,4,4,4,2,2,3,4,2,4,1,3,2,5,4,1,4,1,4,4,4,1
"226",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"227",3,4,3,3,2,3,4,3,2,2,2,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,4,2
"228",5,4,3,4,4,4,5,5,5,4,5,3,2,2,3,2,2,2,4,2,4,3,3,2,5,4,4,4,4,3,4,5,3
"229",4,4,5,5,4,5,4,4,5,4,4,3,3,4,5,4,4,3,5,5,4,5,4,4,5,3,3,5,3,3,3,5,4
"230",3,4,3,3,2,2,3,4,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,3,2,2,4,3,3,4,2
"231",2,2,2,3,3,1,2,4,5,5,5,5,4,2,3,1,2,1,3,4,2,4,2,4,1,4,2,5,1,1,1,1,1
"232",3,4,2,3,2,1,2,3,3,2,2,2,3,2,2,2,1,2,2,2,2,2,3,3,4,3,2,1,1,1,1,1,1
"233",4,4,4,4,3,3,5,5,2,2,3,2,3,2,2,3,2,1,2,1,5,4,1,1,4,4,5,5,3,4,3,4,1
"234",2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,3,2,2,2,1,2,2,3,1
"235",3,3,3,1,3,2,3,3,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,3,4,4,4,4,3,5,2,4,2
"236",2,3,3,3,3,3,4,3,4,3,3,1,3,2,4,4,3,1,2,1,5,3,1,3,3,1,1,2,1,1,1,1,1
"237",4,4,4,3,2,2,3,4,3,3,3,2,4,2,2,2,1,2,4,3,2,3,3,5,4,5,3,3,2,4,3,4,2
"238",3,2,3,3,3,3,2,3,3,3,2,3,3,3,3,4,2,3,2,2,3,2,3,3,3,3,2,2,3,4,4,4,3
"239",2,2,1,2,3,2,2,3,2,3,1,2,3,4,3,3,3,5,3,2,2,1,3,4,5,4,3,4,1,5,5,2,2
"240",2,1,1,1,1,1,1,1,1,3,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2
"241",2,5,4,3,3,4,4,4,4,4,4,3,1,4,3,2,3,3,3,2,4,2,4,3,3,3,2,2,3,2,2,4,3
"242",1,2,4,4,2,1,3,3,2,1,1,1,1,1,5,1,1,1,1,2,1,1,1,2,2,3,1,2,1,1,1,4,2
"243",2,2,3,3,1,1,2,3,3,3,2,2,3,1,5,1,1,2,1,2,3,1,3,4,4,5,1,4,2,2,2,4,1
"244",1,2,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,3,1
"245",3,3,2,2,2,1,3,4,1,2,1,1,1,1,4,2,2,1,2,1,5,2,3,1,2,3,3,3,1,2,3,3,2
"246",3,4,4,1,2,1,4,3,2,2,1,2,1,1,2,2,3,3,2,1,3,1,3,2,4,4,1,2,2,2,3,4,2
"247",2,2,3,4,3,2,3,3,2,3,2,1,1,2,2,2,2,2,1,2,3,2,2,1,4,5,4,3,3,3,3,5,3
"248",3,3,2,3,3,3,2,3,2,2,3,3,3,2,2,2,2,2,3,3,3,2,2,3,2,3,3,3,3,2,2,2,2
"249",5,5,2,3,5,2,4,4,3,1,4,4,1,3,2,1,4,2,1,1,1,1,1,1,3,1,2,3,1,1,3,4,2
"250",1,5,1,1,2,2,5,5,1,1,2,2,1,2,1,2,1,1,2,5,1,2,1,4,2,3,1,1,2,1,1,5,2
"251",1,2,2,2,1,2,2,1,3,1,3,2,2,2,2,2,1,2,2,2,2,3,2,3,1,3,3,4,2,1,2,1,2
"252",3,4,3,2,1,2,2,2,3,3,1,2,4,3,4,4,2,2,1,3,3,2,3,3,2,3,1,3,2,3,3,5,2
"253",2,3,2,3,2,2,3,3,1,3,1,3,1,2,3,3,3,3,2,2,2,3,1,1,3,1,1,1,1,1,2,1,3
"254",3,2,3,3,1,2,3,4,2,1,2,1,2,2,2,2,2,2,2,3,3,1,3,1,3,2,2,1,1,2,3,3,2
"255",2,4,2,1,2,2,1,2,1,2,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1
"256",3,1,3,3,2,3,4,4,3,4,2,2,2,2,1,3,2,1,2,1,3,2,1,2,2,3,3,2,1,1,3,2,3
"257",3,3,4,2,3,2,2,4,1,5,2,2,4,2,2,3,3,3,3,3,3,4,3,4,4,2,4,3,4,2,3,4,5
"258",3,3,3,2,2,2,3,3,3,3,3,1,2,3,1,5,3,4,1,2,1,3,2,4,1,4,1,1,1,1,3,2,1
"259",3,2,3,2,2,1,3,3,1,4,1,1,1,1,3,5,2,3,1,1,1,2,1,3,3,4,3,1,1,3,2,3,1
"260",1,4,1,2,3,1,1,3,2,2,1,1,2,2,1,2,1,2,1,1,2,1,2,2,3,3,2,2,1,1,2,3,2
"261",3,5,2,4,4,3,5,3,2,4,2,1,4,2,2,1,2,2,1,2,3,3,3,3,3,2,2,3,2,2,2,2,2
"262",3,5,3,4,2,5,3,4,4,1,3,1,1,2,5,4,3,3,2,1,3,4,1,4,4,4,4,1,4,2,4,3,2
"263",3,5,4,4,3,1,5,3,2,1,1,1,2,2,2,4,2,2,2,4,3,4,2,3,4,3,3,1,2,2,3,4,1
"264",3,5,5,2,3,2,3,4,3,1,3,1,4,2,3,2,3,2,2,2,3,3,2,4,5,4,4,4,3,2,4,4,1
"265",2,4,3,3,3,2,3,3,2,1,2,1,2,2,4,4,2,2,1,1,2,1,2,3,4,3,3,2,2,2,3,4,2
"266",2,2,2,2,1,1,2,2,2,4,1,1,3,1,2,2,2,1,1,1,3,1,3,2,4,2,3,1,1,3,1,4,1
"267",1,2,3,3,3,2,3,4,3,5,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,3,4,1
"268",2,4,2,2,2,1,1,2,2,2,1,1,2,1,1,1,2,2,1,1,4,1,1,1,2,2,1,4,1,2,1,4,1
"269",2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,2,2,2,3,4
"270",2,2,2,3,2,1,2,2,1,2,1,1,1,2,5,3,2,2,1,1,1,3,2,3,5,5,3,1,4,5,4,4,2
"271",3,2,4,3,4,3,4,4,3,3,4,4,3,3,4,4,4,3,3,4,3,4,4,4,4,4,3,4,4,4,4,3,2
"272",2,4,3,4,3,3,4,2,4,4,3,2,3,2,3,3,3,3,4,3,3,4,4,2,4,4,3,3,2,2,2,3,2
"273",3,4,3,5,3,1,4,5,4,2,3,2,2,3,4,3,4,3,2,2,2,4,3,2,5,4,3,1,3,5,4,5,2
"274",3,2,2,3,2,1,2,3,2,2,1,1,1,1,4,3,2,1,3,1,2,2,1,4,5,4,5,2,3,4,5,4,3
"275",2,1,1,3,2,2,2,2,2,2,2,1,1,2,5,1,1,2,1,2,1,2,3,4,5,4,5,1,4,4,4,4,2
"276",4,4,5,2,2,5,4,4,4,4,3,5,3,3,5,4,4,4,5,3,3,3,3,4,5,3,3,4,4,4,4,4,3
"277",3,4,3,5,5,3,4,4,3,3,3,3,5,5,4,3,3,4,5,5,4,4,4,4,4,4,4,3,3,4,4,4,4
"278",3,2,3,5,3,5,4,3,5,4,4,2,3,4,3,3,4,4,3,4,4,5,5,4,3,4,5,5,3,3,4,2,4
"279",3,4,3,3,3,3,3,3,3,3,4,3,4,4,2,3,2,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3
"280",3,2,2,3,1,2,3,3,1,2,2,1,1,1,4,3,2,2,1,2,2,1,2,3,2,3,2,3,1,3,3,4,3
"281",3,1,3,3,3,2,3,3,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,3,4,2,4,1,3,3,3,3,1
"282",3,2,2,3,3,2,2,3,3,2,3,3,3,2,2,3,2,2,3,1,1,2,2,2,3,3,3,2,3,2,2,3,2
"283",2,1,2,3,2,1,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,1,2,4,3,3,2,2,2,4,4,4,1
"284",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"285",3,3,3,3,2,1,1,3,2,1,2,1,2,2,2,2,2,2,4,3,3,1,3,4,5,3,4,3,1,1,2,4,1
"286",4,5,5,3,5,2,4,5,4,1,4,3,1,2,3,2,3,1,3,2,2,4,2,4,5,4,4,4,4,3,3,4,3
"287",2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,3,3,2,2,1,2,3,3,3,2,2,3,2,1,4,2,2
"288",3,3,3,2,4,3,2,4,4,3,2,2,1,4,4,4,4,3,2,4,3,2,3,2,1,1,3,3,1,1,1,1,1
"289",2,2,2,2,3,1,2,2,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,3,2
"290",1,2,2,1,2,2,1,2,1,1,1,1,1,3,2,1,1,2,2,1,2,2,1,3,4,1,1,1,2,1,2,1,2
"291",2,2,3,3,3,1,3,3,2,1,1,1,3,2,2,3,2,2,2,2,2,3,2,4,4,4,4,3,2,4,3,5,1
"292",2,2,3,3,2,1,3,3,2,2,1,1,2,2,2,2,2,1,2,1,3,1,2,3,4,3,3,3,1,1,3,4,1
"293",5,2,4,3,2,1,4,3,1,2,1,1,4,1,1,1,1,3,4,3,4,3,4,1,5,5,2,1,3,1,4,5,2
"294",2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,1,3,1,3,1
"295",1,2,3,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1
"296",2,3,3,3,3,2,3,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,4,2,3,2
"297",2,2,3,3,3,3,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,3,2,1,3,3,2,2,1,1,2,2,1
"298",3,3,4,3,4,3,4,4,3,2,3,3,3,3,2,2,2,2,3,3,4,4,3,4,4,4,2,2,1,2,1,3,2
"299",1,3,1,1,2,1,1,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,3,1,1,2,2,2
"300",4,3,3,3,3,2,2,3,2,2,2,1,3,2,2,2,2,2,2,2,3,3,2,3,5,3,2,3,2,1,2,4,2
"301",3,3,4,3,3,3,4,4,4,2,3,2,2,4,4,3,4,4,3,3,1,3,3,2,4,4,2,4,4,1,2,4,2
"302",3,2,4,4,2,4,5,4,4,4,2,1,2,3,4,3,3,4,2,1,2,3,2,2,4,4,2,4,3,4,3,4,2
"303",4,4,3,3,2,3,3,3,3,2,2,2,3,3,3,2,3,2,2,2,3,2,2,3,4,4,3,4,2,3,4,4,2
"304",3,3,3,3,2,2,3,4,3,4,2,1,2,1,1,1,2,3,2,2,2,2,1,3,2,3,3,4,1,2,2,3,3
"305",3,3,4,5,4,4,4,4,4,5,4,2,4,2,3,2,3,2,2,3,4,3,3,4,3,5,2,3,3,4,4,4,4
"306",4,5,5,4,5,5,2,5,5,5,4,1,2,1,5,1,1,1,4,4,4,4,4,4,5,5,3,4,4,4,4,5,2
"307",4,3,4,4,4,2,2,4,3,4,3,2,2,2,2,3,2,3,2,2,2,4,2,2,3,4,2,2,1,2,3,3,2
"308",2,1,2,1,2,1,2,2,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,4,1,2,1
"309",4,3,3,3,3,3,4,4,2,4,2,2,2,2,2,4,2,2,2,2,3,3,2,3,3,3,2,3,3,2,4,3,2
"310",3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,4,3,2,3,2,3,2,4,2
"311",2,3,2,2,1,1,2,2,2,1,1,1,1,2,2,3,2,2,1,1,1,3,1,2,4,2,3,2,2,2,1,4,1
"312",4,3,3,2,3,1,3,3,2,2,3,1,1,2,2,2,2,2,2,2,2,1,2,2,3,3,2,3,3,4,2,2,2
"313",4,3,4,4,3,3,4,4,4,2,2,2,1,2,2,1,2,2,2,1,3,3,3,3,3,4,2,3,1,4,4,4,4
"314",2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1
"315",3,4,2,2,4,2,4,5,4,3,4,3,1,3,1,1,3,1,1,1,4,4,3,1,4,4,3,3,1,2,3,4,2
"316",4,4,3,4,4,3,4,4,4,2,4,4,4,3,4,3,4,4,2,2,4,5,4,3,4,4,3,3,4,1,2,5,3
"317",3,2,2,3,3,2,3,3,2,3,2,2,2,2,3,4,2,2,1,3,3,2,2,2,3,3,1,2,2,2,1,3,1
"318",2,2,2,2,2,1,1,3,2,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,3,1,3,1,1,1,3,1
"319",2,3,3,3,3,2,3,3,3,2,2,1,3,1,1,2,1,2,1,3,3,2,2,2,2,2,1,3,1,2,3,3,2
"320",3,4,3,3,3,2,4,4,3,3,3,2,2,4,3,3,3,3,2,2,2,3,2,2,4,4,3,4,2,2,3,3,2
"321",4,4,4,4,3,3,4,4,4,4,4,3,3,5,4,3,4,3,3,4,4,4,4,3,4,4,4,3,4,4,3,4,3
"322",2,3,2,2,2,1,1,2,1,3,1,1,1,3,1,2,1,3,2,1,1,2,1,1,2,2,1,3,2,2,2,4,3
"323",4,3,4,4,4,2,4,5,3,3,2,3,5,2,3,2,2,2,2,2,5,2,4,5,5,4,4,4,3,4,4,4,2
"324",3,2,2,3,4,2,2,3,4,3,4,5,4,3,2,4,3,4,2,2,1,4,2,1,2,3,2,2,1,2,1,3,2
"325",4,4,3,3,4,4,3,4,5,3,3,3,3,3,4,2,3,2,2,2,1,4,2,1,4,3,4,2,4,2,1,4,2
"326",3,3,3,2,3,1,2,4,2,1,2,1,1,2,3,3,3,4,2,2,2,1,3,3,4,4,4,2,1,1,3,2,1
"327",4,3,4,3,3,2,3,4,2,2,1,1,3,2,3,1,1,2,3,3,4,4,4,3,4,4,3,4,1,1,2,4,1
"328",3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,2,3,4,1,2,3,2,3,2,5,3,3,3
"329",1,4,3,3,3,3,3,3,1,2,2,1,3,2,1,4,1,1,2,2,3,3,3,3,4,4,4,4,3,3,4,5,2
"330",3,2,1,2,2,1,3,2,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2
"331",4,5,3,2,2,2,2,4,3,1,1,2,2,1,4,3,3,3,1,1,2,2,3,4,2,4,1,2,1,4,2,2,2
"332",1,3,4,3,2,2,3,2,2,2,1,1,2,2,2,3,2,2,2,2,3,2,3,2,3,3,2,2,2,2,3,4,2
"333",2,5,3,2,3,1,3,3,1,2,1,1,1,2,2,2,2,2,3,1,2,2,1,4,3,3,2,2,2,2,2,3,2
"334",2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,3,2,2,1,2,1,1,3,3,3,1,2,1,2,2,2,2
"335",4,1,1,5,2,1,5,4,1,5,1,1,5,2,3,4,1,3,3,3,4,2,3,2,3,4,1,4,1,2,3,3,2
"336",3,4,2,1,2,1,3,3,1,1,1,1,4,2,2,2,2,2,1,1,1,1,1,2,3,3,3,2,3,3,4,2,2
"337",1,2,1,1,2,1,2,2,2,3,2,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,3,3,1,4,1
"338",3,2,2,2,2,1,2,3,3,2,2,2,1,3,2,2,2,2,2,3,3,3,2,2,3,3,2,2,1,1,2,3,2
"339",2,4,3,3,3,3,4,5,3,2,1,1,2,2,2,3,2,2,1,5,2,3,3,3,5,5,4,3,4,4,5,5,3
"340",3,4,3,3,2,1,3,3,2,1,2,1,4,2,4,1,2,1,1,3,2,3,3,3,5,4,2,4,5,2,4,4,2
"341",4,3,4,4,4,2,3,5,4,2,2,2,4,3,4,2,3,2,3,2,2,4,3,3,3,3,3,3,3,5,2,4,2
"342",4,4,4,3,4,4,4,4,5,1,3,3,2,3,3,3,4,3,3,3,2,3,3,4,4,4,3,4,3,2,3,4,4
"343",4,4,4,4,4,2,5,4,3,2,3,2,2,4,3,4,3,4,4,4,4,4,4,3,5,4,4,5,4,2,4,4,2
"344",2,3,3,3,2,1,3,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,3,1,3,1,1,2,2,2
"345",4,4,3,4,4,2,3,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,3,2,3,3,2
"346",3,5,3,3,3,2,3,3,3,1,2,2,1,1,3,1,1,1,1,1,1,2,1,3,2,3,2,3,1,2,3,2,2
"347",2,2,2,2,2,2,3,3,2,2,1,1,3,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2
"348",2,3,3,2,2,2,2,3,2,3,2,3,2,3,2,3,3,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2
"349",1,4,1,1,2,1,1,1,2,1,1,1,4,2,2,2,1,1,1,1,3,1,2,1,4,1,1,1,1,2,1,1,2
"350",1,1,2,1,2,1,1,2,3,3,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,1,3,3,1
"351",2,5,3,3,2,2,3,3,2,1,1,1,1,2,2,2,2,3,2,2,1,2,1,2,4,3,3,3,3,3,2,3,2
"352",1,2,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,3,1
"353",2,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,3,1
"354",2,2,2,2,1,1,2,2,1,4,1,1,2,2,2,2,2,2,1,1,2,1,2,4,1,2,2,2,1,3,1,1,1
"355",4,1,3,3,4,3,4,4,2,1,1,1,2,2,2,2,2,2,2,2,2,4,2,3,5,4,4,2,2,5,4,1,1
"356",4,3,5,4,3,3,4,5,2,1,1,3,3,3,2,2,3,2,2,3,2,3,2,1,4,4,3,4,1,1,4,2,1
