"","ex01","ex02","ex03","ex04","ex05","ex06","ex07","ex08","md09","md10","md11","md12","md13","ci14","ci15","ci16","ci17","ci18","ei19","ei20","ei21","ei22","ei23","plc01","plc02","plc03","plc04","plc05","psc06","psc07","psc08","psc09","psc10"
"45",2,3,2,2,2,2,3,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,3,3,3,3
"46",1,2,2,1,3,2,1,2,4,2,3,3,2,3,2,3,2,2,2,3,3,1,1,1,3,3,1,1,1,3,1,2,2
"47",3,5,3,3,3,2,2,2,2,1,2,1,1,3,2,2,2,2,3,2,3,1,3,3,2,3,3,3,2,1,4,4,2
"48",4,3,3,3,3,1,3,4,2,1,3,2,2,2,1,2,2,2,1,2,2,2,1,3,3,3,2,1,2,3,4,4,2
"49",2,2,1,2,3,3,2,2,4,3,3,4,3,4,2,4,3,3,1,1,1,2,1,2,3,2,1,3,1,1,3,3,1
"50",4,4,1,1,5,5,1,1,3,3,2,3,2,5,3,3,5,4,1,1,4,3,1,1,3,3,1,4,1,1,3,1,1
"51",3,4,2,2,2,5,2,3,3,4,2,3,3,3,3,3,3,3,3,3,4,2,1,2,5,4,1,3,1,1,3,3,3
"52",3,5,2,3,3,5,4,3,4,4,3,3,2,5,3,4,5,3,3,1,3,2,2,4,3,3,3,2,1,1,2,2,4
"53",2,3,3,2,5,3,2,3,3,2,3,2,2,4,5,4,4,4,1,2,1,2,2,5,5,4,3,3,1,4,2,3,2
"54",3,2,3,3,2,3,2,3,3,3,1,1,1,3,4,3,3,2,2,2,2,2,2,4,3,3,1,2,2,1,2,3,2
"55",4,3,3,3,3,2,3,4,3,3,2,2,2,2,2,2,2,2,2,3,4,3,3,2,3,4,2,3,1,3,4,4,4
"56",3,4,3,3,3,2,2,3,1,2,1,1,2,2,2,3,2,2,3,2,3,2,3,3,3,4,4,3,3,3,3,3,1
"57",2,3,2,3,3,2,2,2,2,3,1,1,1,2,2,3,2,2,2,2,3,2,3,3,4,3,2,2,1,1,2,2,2
"58",4,2,1,2,2,3,3,3,5,4,1,3,4,5,4,3,5,3,5,1,3,4,2,1,5,4,4,2,1,1,2,1,1
"59",1,2,1,1,1,1,3,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,3,3,1,3,1,1,1,1,1
"60",1,2,1,2,2,1,1,3,1,2,1,1,1,4,2,1,3,2,1,1,3,1,3,1,3,3,1,3,1,3,4,5,2
"61",3,4,1,2,2,1,3,4,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,4,2,4,1,1,2,3,2
"62",2,4,3,1,3,2,3,4,2,1,3,1,1,4,4,4,3,2,3,1,3,3,3,2,5,3,2,2,1,3,2,4,3
"63",3,3,2,3,1,2,3,3,2,2,1,1,1,2,4,3,2,3,1,1,4,1,3,4,3,3,1,2,3,2,3,4,2
"64",2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,3,1,1,1,3,2,1,3,2,2,1,3,1
"65",2,2,3,2,5,2,2,4,3,4,2,1,5,4,1,5,4,2,2,2,3,3,4,5,3,2,1,5,1,1,5,1,1
"66",2,3,2,2,1,3,3,1,2,3,1,2,2,3,3,4,4,3,1,1,2,1,2,3,2,2,1,2,1,1,2,2,2
"67",3,2,2,2,4,4,2,2,3,2,2,2,2,3,3,3,3,3,2,2,3,3,2,3,4,4,2,4,3,4,4,4,2
"68",3,3,2,2,3,3,4,3,3,2,1,2,3,2,2,3,2,3,1,1,1,1,2,4,3,3,2,1,1,1,2,4,2
"69",3,3,4,3,4,2,3,4,3,4,4,2,4,1,3,2,2,4,3,4,4,3,4,4,4,3,3,5,2,2,3,2,2
"70",2,3,2,2,4,4,4,3,4,3,3,3,2,4,4,3,4,3,3,3,4,4,5,3,5,4,3,2,3,4,3,3,2
"71",2,3,1,1,1,2,1,2,1,1,1,1,1,2,4,1,1,2,1,1,2,1,2,1,1,2,3,2,1,1,1,3,2
"72",2,4,3,2,3,3,3,4,1,1,1,1,2,2,5,3,4,3,2,1,3,2,1,2,3,3,1,5,2,1,3,3,1
"73",2,1,1,2,1,3,2,2,1,3,1,1,1,3,2,3,3,1,1,1,1,1,1,1,2,2,1,1,1,1,2,3,1
"74",2,3,3,3,2,3,4,3,1,3,2,1,3,3,4,4,3,4,2,4,4,4,3,3,4,3,1,4,4,2,3,3,2
"75",3,3,3,2,3,3,3,3,2,2,1,1,3,3,2,2,3,3,1,2,3,2,1,3,3,3,2,4,1,1,4,3,2
"76",2,2,3,1,3,5,2,4,3,1,2,3,5,3,2,2,3,1,1,1,3,1,1,2,3,3,2,2,1,1,3,4,1
"77",4,2,3,2,3,2,2,4,1,1,1,1,1,3,2,3,3,2,1,1,3,2,1,4,5,4,5,4,3,3,3,4,1
"78",2,2,3,3,4,2,2,3,3,2,4,4,2,4,2,4,4,3,2,1,2,3,2,1,3,2,1,4,2,2,3,4,1
"79",3,3,2,2,3,2,3,4,2,2,2,2,3,3,2,2,2,3,2,2,4,2,3,3,4,4,3,2,2,2,2,3,2
"80",4,5,1,3,2,5,2,2,5,5,4,5,3,4,3,4,2,3,1,1,1,5,1,5,5,5,4,2,5,1,4,5,4
"81",4,5,3,3,1,1,3,4,1,1,1,1,2,1,2,1,2,1,2,3,4,1,4,3,3,4,1,4,1,1,1,1,3
