"","x"
"chisq",632.722574245886
"df",226
"pvalue",0
"cfi",0.888185576345318
"tli",0.874827215997192
"srmr",0.0736259263359816
"rmsea",0.0713006170322117
"rmsea.ci.lower",0.0647597453153564
"rmsea.ci.upper",0.0779066185753802
"rmsea.pvalue",1.04196801631318e-07
