"","UWES_VI1","UWES_DE1","UWES_AB1","UWES_VI2","UWES_DE2","UWES_AB2","UWES_DE3","UWES_VI3","UWES_AB3","UWES_DE4","UWES_AB4","UWES_VI4","UWES_DE5","UWES_AB5","UWES_VI5","UWES_AB6","UWES_VI6"
"80",1,1,2,2,1,1,2,4,3,1,6,1,6,2,3,1,7
"81",7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7
"82",NA,3,NA,4,4,4,NA,4,NA,4,4,4,5,4,4,NA,4
"83",3,4,3,3,4,3,4,2,3,4,3,1,2,4,4,3,3
"84",2,3,4,4,4,6,4,3,2,5,3,4,4,4,6,3,7
"85",6,7,7,7,7,2,7,2,6,NA,5,5,6,7,5,3,7
"86",4,7,4,6,7,7,7,6,7,7,6,5,6,7,5,NA,7
"87",5,7,7,6,6,1,6,7,6,7,5,7,7,6,5,7,7
"88",6,6,6,5,7,6,7,5,5,7,4,6,5,6,6,4,5
"89",5,7,6,6,7,1,7,6,3,6,3,4,1,6,5,3,7
"90",4,6,6,4,NA,3,5,5,6,6,3,NA,3,6,5,3,3
"91",NA,7,7,NA,6,3,NA,5,6,7,NA,NA,7,NA,4,NA,7
"92",3,5,3,3,4,2,4,5,4,4,1,6,7,3,2,2,4
"93",4,6,4,4,6,4,6,4,4,7,6,6,4,4,4,4,4
"94",5,7,5,6,7,5,6,6,5,7,3,4,3,6,6,4,7
"95",NA,5,5,4,5,3,3,4,5,5,6,4,5,2,5,2,5
"96",1,5,NA,NA,4,NA,NA,NA,6,6,4,NA,4,3,2,2,2
"97",3,7,2,5,7,2,6,6,7,7,5,6,7,7,6,1,7
"98",3,5,3,6,4,3,3,6,6,3,2,4,4,3,3,3,7
"99",2,3,1,3,2,2,3,4,3,3,1,1,5,2,3,1,3
"100",2,3,4,6,2,3,4,3,4,6,NA,2,3,2,6,5,3
"101",3,6,5,3,4,4,3,4,4,4,2,4,5,4,2,3,2
"102",4,6,6,4,4,2,4,5,3,5,3,4,3,4,5,2,4
"103",4,6,7,4,6,6,6,6,7,7,4,4,6,6,5,NA,4
"104",2,4,3,4,3,3,5,5,2,3,2,5,4,3,5,2,4
"105",2,4,4,3,4,3,4,4,4,4,4,3,3,3,4,5,3
"106",4,4,4,4,6,1,4,3,4,6,4,3,5,4,4,2,5
"107",4,5,NA,NA,5,NA,6,NA,NA,5,3,5,5,4,6,2,4
"108",6,7,5,6,7,6,6,6,6,7,6,6,6,7,7,5,NA
"109",6,7,6,NA,7,NA,7,NA,6,7,5,5,7,7,7,5,5
"110",4,5,4,5,4,4,5,4,4,5,5,4,5,4,5,4,5
"111",7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7
"112",4,4,5,5,6,4,6,6,6,7,5,4,4,6,4,NA,5
