"","x"
"chisq",125.787065679754
"df",50
"pvalue",1.82771260348602e-08
"cfi",0.955653284046954
"tli",0.94146233494198
"srmr",0.053687861093138
"rmsea",0.0654351214803635
"rmsea.ci.lower",0.0512741135583623
"rmsea.ci.upper",0.0798046278350722
"rmsea.pvalue",0.0371895416643037
